* ====================================================================
* record-id : 20260807-181348-8e74fd6
* testbench : tb_mos_vth.spice
* corner    : ff
* temp      : 125 C
* supply    : n/a (no supply rail in this device-level testbench)
* pdk       : gf180mcuD (/Users/rwalters/.volare/gf180mcuD)
* ngspice   : ngspice-46 : Circuit level simulation program
* run (UTC) : 2026-08-07T18:13:48Z
* ====================================================================

Note: Compatibility modes selected: hs a


Circuit: *include "corner.spice

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 101
                                                                                                                                                                                                                                                     *include "corner.spice
                                                                                                                                                                                                                                                     DC transfer characteristic  Fri Aug  7 11:13:49  2026
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   v-sweep         v(gn1)          v(gn4)          v(gp1)          v(gp4)          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	-8.00000e+00	1.818189e-01	2.210877e-01	-3.13092e-01	-3.84441e-01	
1	-7.95000e+00	1.873912e-01	2.268950e-01	-3.19094e-01	-3.90854e-01	
2	-7.90000e+00	1.929754e-01	2.327226e-01	-3.25120e-01	-3.97302e-01	
3	-7.85000e+00	1.985718e-01	2.385710e-01	-3.31171e-01	-4.03786e-01	
4	-7.80000e+00	2.041809e-01	2.444411e-01	-3.37248e-01	-4.10308e-01	
5	-7.75000e+00	2.098031e-01	2.503334e-01	-3.43352e-01	-4.16868e-01	
6	-7.70000e+00	2.154389e-01	2.562488e-01	-3.49483e-01	-4.23466e-01	
7	-7.65000e+00	2.210888e-01	2.621879e-01	-3.55643e-01	-4.30106e-01	
8	-7.60000e+00	2.267533e-01	2.681513e-01	-3.61832e-01	-4.36787e-01	
9	-7.55000e+00	2.324330e-01	2.741398e-01	-3.68051e-01	-4.43513e-01	
10	-7.50000e+00	2.381286e-01	2.801540e-01	-3.74301e-01	-4.50285e-01	
11	-7.45000e+00	2.438405e-01	2.861947e-01	-3.80584e-01	-4.57102e-01	
12	-7.40000e+00	2.495695e-01	2.922627e-01	-3.86899e-01	-4.63973e-01	
13	-7.35000e+00	2.553160e-01	2.983586e-01	-3.93247e-01	-4.70897e-01	
14	-7.30000e+00	2.610809e-01	3.044833e-01	-3.99630e-01	-4.77881e-01	
15	-7.25000e+00	2.668647e-01	3.106378e-01	-4.06048e-01	-4.84925e-01	
16	-7.20000e+00	2.726680e-01	3.168229e-01	-4.12501e-01	-4.92036e-01	
