
Note: Compatibility modes selected: hs a


Circuit: * psrr-dc @ sf_-40c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 1
Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 161
       * psrr-dc @ sf_-40c_2.97v -- generated by sim/harness, do not edit
       AC Analysis  Fri Jul 31 20:27:39  2026
--------------------------------------------------------------------------------
Index   frequency       psrr_db         
--------------------------------------------------------------------------------
0	1.0000000000e-01	6.4173427936e+01	
1	1.1220184543e-01	6.4173427936e+01	
2	1.2589254118e-01	6.4173427936e+01	
3	1.4125375446e-01	6.4173427936e+01	
4	1.5848931925e-01	6.4173427936e+01	
5	1.7782794100e-01	6.4173427936e+01	
6	1.9952623150e-01	6.4173427936e+01	
7	2.2387211386e-01	6.4173427936e+01	
8	2.5118864315e-01	6.4173427936e+01	
9	2.8183829313e-01	6.4173427936e+01	
10	3.1622776602e-01	6.4173427936e+01	
11	3.5481338923e-01	6.4173427936e+01	
12	3.9810717055e-01	6.4173427936e+01	
13	4.4668359215e-01	6.4173427936e+01	
14	5.0118723363e-01	6.4173427936e+01	
15	5.6234132519e-01	6.4173427936e+01	
16	6.3095734448e-01	6.4173427936e+01	
17	7.0794578438e-01	6.4173427936e+01	
18	7.9432823472e-01	6.4173427935e+01	
19	8.9125093813e-01	6.4173427935e+01	
20	1.0000000000e+00	6.4173427935e+01	
21	1.1220184543e+00	6.4173427935e+01	
22	1.2589254118e+00	6.4173427935e+01	
23	1.4125375446e+00	6.4173427935e+01	
24	1.5848931925e+00	6.4173427934e+01	
25	1.7782794100e+00	6.4173427934e+01	
26	1.9952623150e+00	6.4173427933e+01	
27	2.2387211386e+00	6.4173427933e+01	
28	2.5118864315e+00	6.4173427932e+01	
29	2.8183829313e+00	6.4173427931e+01	
30	3.1622776602e+00	6.4173427929e+01	
31	3.5481338923e+00	6.4173427928e+01	
32	3.9810717055e+00	6.4173427926e+01	
33	4.4668359215e+00	6.4173427923e+01	
34	5.0118723363e+00	6.4173427920e+01	
35	5.6234132519e+00	6.4173427915e+01	
36	6.3095734448e+00	6.4173427910e+01	
37	7.0794578438e+00	6.4173427904e+01	
38	7.9432823472e+00	6.4173427895e+01	
39	8.9125093813e+00	6.4173427885e+01	
40	1.0000000000e+01	6.4173427871e+01	
41	1.1220184543e+01	6.4173427855e+01	
42	1.2589254118e+01	6.4173427834e+01	
43	1.4125375446e+01	6.4173427807e+01	
44	1.5848931925e+01	6.4173427774e+01	
45	1.7782794100e+01	6.4173427732e+01	
46	1.9952623150e+01	6.4173427679e+01	
47	2.2387211386e+01	6.4173427612e+01	
48	2.5118864315e+01	6.4173427529e+01	
49	2.8183829313e+01	6.4173427423e+01	
50	3.1622776602e+01	6.4173427291e+01	
51	3.5481338923e+01	6.4173427124e+01	
52	3.9810717055e+01	6.4173426913e+01	
53	4.4668359215e+01	6.4173426648e+01	
54	5.0118723363e+01	6.4173426315e+01	

Index   frequency       psrr_db         
--------------------------------------------------------------------------------
55	5.6234132519e+01	6.4173425895e+01	
56	6.3095734448e+01	6.4173425367e+01	
57	7.0794578438e+01	6.4173424702e+01	
58	7.9432823472e+01	6.4173423865e+01	
59	8.9125093813e+01	6.4173422811e+01	
60	1.0000000000e+02	6.4173421484e+01	
61	1.1220184543e+02	6.4173419813e+01	
62	1.2589254118e+02	6.4173417710e+01	
63	1.4125375446e+02	6.4173415062e+01	
64	1.5848931925e+02	6.4173411729e+01	
65	1.7782794100e+02	6.4173407532e+01	
66	1.9952623150e+02	6.4173402249e+01	
67	2.2387211386e+02	6.4173395598e+01	
68	2.5118864315e+02	6.4173387225e+01	
69	2.8183829313e+02	6.4173376684e+01	
70	3.1622776602e+02	6.4173363414e+01	
71	3.5481338923e+02	6.4173346708e+01	
72	3.9810717055e+02	6.4173325676e+01	
73	4.4668359215e+02	6.4173299198e+01	
74	5.0118723363e+02	6.4173284012e+01	
75	5.6234132519e+02	6.4173242048e+01	
76	6.3095734448e+02	6.4173189220e+01	
77	7.0794578438e+02	6.4173122713e+01	
78	7.9432823472e+02	6.4173038988e+01	
79	8.9125093813e+02	6.4172951732e+01	
80	1.0000000000e+03	6.4172819041e+01	
81	1.1220184543e+03	6.4172670143e+01	
82	1.2589254118e+03	6.4172496144e+01	
83	1.4125375446e+03	6.4172249562e+01	
84	1.5848931925e+03	6.4171934452e+01	
85	1.7782794100e+03	6.4171569366e+01	
