
Note: Compatibility modes selected: hs a


Circuit: * psrr-dc @ ff_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
 Reference value :  0.00000e+00
No. of Data Rows : 1
Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 161
       * psrr-dc @ ff_125c_3.63v -- generated by sim/harness, do not edit
       AC Analysis  Sun Aug  2 17:21:18  2026
--------------------------------------------------------------------------------
Index   frequency       psrr_db         
--------------------------------------------------------------------------------
0	1.0000000000e-01	8.5625656071e+01	
1	1.1220184543e-01	8.5625656058e+01	
2	1.2589254118e-01	8.5625656041e+01	
3	1.4125375446e-01	8.5625656020e+01	
4	1.5848931925e-01	8.5625655993e+01	
5	1.7782794100e-01	8.5625655959e+01	
6	1.9952623150e-01	8.5625655917e+01	
7	2.2387211386e-01	8.5625655863e+01	
8	2.5118864315e-01	8.5625655796e+01	
9	2.8183829313e-01	8.5625655711e+01	
10	3.1622776602e-01	8.5625655604e+01	
11	3.5481338923e-01	8.5625655469e+01	
12	3.9810717055e-01	8.5625655301e+01	
13	4.4668359215e-01	8.5625655088e+01	
14	5.0118723363e-01	8.5625654820e+01	
15	5.6234132519e-01	8.5625654484e+01	
16	6.3095734448e-01	8.5625654059e+01	
17	7.0794578438e-01	8.5625653525e+01	
18	7.9432823472e-01	8.5625652852e+01	
19	8.9125093813e-01	8.5625652006e+01	
20	1.0000000000e+00	8.5625650939e+01	
21	1.1220184543e+00	8.5625649596e+01	
22	1.2589254118e+00	8.5625647908e+01	
23	1.4125375446e+00	8.5625645781e+01	
24	1.5848931925e+00	8.5625643100e+01	
25	1.7782794100e+00	8.5625639728e+01	
26	1.9952623150e+00	8.5625635484e+01	
27	2.2387211386e+00	8.5625630141e+01	
28	2.5118864315e+00	8.5625623414e+01	
29	2.8183829313e+00	8.5625614945e+01	
30	3.1622776602e+00	8.5625604286e+01	
31	3.5481338923e+00	8.5625590862e+01	
32	3.9810717055e+00	8.5625573967e+01	
33	4.4668359215e+00	8.5625552694e+01	
34	5.0118723363e+00	8.5625525914e+01	
35	5.6234132519e+00	8.5625492199e+01	
36	6.3095734448e+00	8.5625449754e+01	
37	7.0794578438e+00	8.5625396323e+01	
38	7.9432823472e+00	8.5625329057e+01	
39	8.9125093813e+00	8.5625244374e+01	
40	1.0000000000e+01	8.5625137767e+01	
41	1.1220184543e+01	8.5625003566e+01	
42	1.2589254118e+01	8.5624834617e+01	
43	1.4125375446e+01	8.5624621936e+01	
44	1.5848931925e+01	8.5624354199e+01	
45	1.7782794100e+01	8.5624017162e+01	
46	1.9952623150e+01	8.5623592897e+01	
47	2.2387211386e+01	8.5623058826e+01	
48	2.5118864315e+01	8.5622386576e+01	
49	2.8183829313e+01	8.5621540404e+01	
50	3.1622776602e+01	8.5620475379e+01	
51	3.5481338923e+01	8.5619134958e+01	
52	3.9810717055e+01	8.5617448059e+01	
53	4.4668359215e+01	8.5615325312e+01	
54	5.0118723363e+01	8.5612654394e+01	

Index   frequency       psrr_db         
--------------------------------------------------------------------------------
55	5.6234132519e+01	8.5609294258e+01	
56	6.3095734448e+01	8.5605067776e+01	
57	7.0794578438e+01	8.5599752803e+01	
58	7.9432823472e+01	8.5593070878e+01	
59	8.9125093813e+01	8.5584673419e+01	
60	1.0000000000e+02	8.5574124687e+01	
61	1.1220184543e+02	8.5560880943e+01	
62	1.2589254118e+02	8.5544265267e+01	
63	1.4125375446e+02	8.5523437361e+01	
64	1.5848931925e+02	8.5497357791e+01	
65	1.7782794100e+02	8.5464746670e+01	
66	1.9952623150e+02	8.5424036830e+01	
67	2.2387211386e+02	8.5373322851e+01	
68	2.5118864315e+02	8.5310308351e+01	
69	2.8183829313e+02	8.5232256042e+01	
70	3.1622776602e+02	8.5135947349e+01	
71	3.5481338923e+02	8.5017661643e+01	
72	3.9810717055e+02	8.4873187876e+01	
73	4.4668359215e+02	8.4697883691e+01	
74	5.0118723363e+02	8.4486796662e+01	
75	5.6234132519e+02	8.4234858045e+01	
76	6.3095734448e+02	8.3937149321e+01	
77	7.0794578438e+02	8.3589226360e+01	
78	7.9432823472e+02	8.3187467363e+01	
79	8.9125093813e+02	8.2729394716e+01	
80	1.0000000000e+03	8.2213914787e+01	
81	1.1220184543e+03	8.1641428630e+01	
82	1.2589254118e+03	8.1013790380e+01	
83	1.4125375446e+03	8.0334122108e+01	
84	1.5848931925e+03	7.9606522621e+01	
85	1.7782794100e+03	7.8835724066e+01	
86	1.9952623150e+03	7.8026750499e+01	
87	2.2387211386e+03	7.7184620379e+01	
88	2.5118864315e+03	7.6314116435e+01	
89	2.8183829313e+03	7.5419628953e+01	
90	3.1622776602e+03	7.4505065561e+01	
91	3.5481338923e+03	7.3573813596e+01	
92	3.9810717055e+03	7.2628738908e+01	
93	4.4668359215e+03	7.1672205752e+01	
94	5.0118723363e+03	7.0706104691e+01	
95	5.6234132519e+03	6.9731877929e+01	
96	6.3095734448e+03	6.8750533705e+01	
97	7.0794578438e+03	6.7762643183e+01	
98	7.9432823472e+03	6.6768315031e+01	
99	8.9125093813e+03	6.5767145070e+01	
100	1.0000000000e+04	6.4758141940e+01	
101	1.1220184543e+04	6.3739635103e+01	
102	1.2589254118e+04	6.2709179103e+01	
103	1.4125375446e+04	6.1663476632e+01	
104	1.5848931925e+04	6.0598350352e+01	
105	1.7782794100e+04	5.9508795846e+01	
106	1.9952623150e+04	5.8389142224e+01	
107	2.2387211386e+04	5.7233331646e+01	
108	2.5118864315e+04	5.6035307167e+01	
109	2.8183829313e+04	5.4789475408e+01	
110	3.1622776602e+04	5.3491192896e+01	
111	3.5481338923e+04	5.2137216218e+01	
112	3.9810717055e+04	5.0726058058e+01	

Index   frequency       psrr_db         
--------------------------------------------------------------------------------
113	4.4668359215e+04	4.9258203733e+01	
114	5.0118723363e+04	4.7736164899e+01	
115	5.6234132519e+04	4.6164375363e+01	
116	6.3095734448e+04	4.4548961397e+01	
117	7.0794578438e+04	4.2897437636e+01	
118	7.9432823472e+04	4.1218383767e+01	
119	8.9125093813e+04	3.9521146774e+01	
120	1.0000000000e+05	3.7815593259e+01	
121	1.1220184543e+05	3.6111913646e+01	
122	1.2589254118e+05	3.4420461337e+01	
123	1.4125375446e+05	3.2751599465e+01	
124	1.5848931925e+05	3.1115528640e+01	
125	1.7782794100e+05	2.9522082440e+01	
126	1.9952623150e+05	2.7980504763e+01	
127	2.2387211386e+05	2.6499263776e+01	
128	2.5118864315e+05	2.5086007900e+01	
129	2.8183829313e+05	2.3747821092e+01	
130	3.1622776602e+05	2.2491969799e+01	
131	3.5481338923e+05	2.1327315711e+01	
132	3.9810717055e+05	2.0266423461e+01	
133	4.4668359215e+05	1.9327995238e+01	
134	5.0118723363e+05	1.8538494780e+01	
135	5.6234132519e+05	1.7930862683e+01	
136	6.3095734448e+05	1.7538122738e+01	
137	7.0794578438e+05	1.7382236646e+01	
138	7.9432823472e+05	1.7463624814e+01	
139	8.9125093813e+05	1.7759143650e+01	
140	1.0000000000e+06	1.8230991885e+01	
141	1.1220184543e+06	1.8840860900e+01	
142	1.2589254118e+06	1.9561788836e+01	
143	1.4125375446e+06	2.0384635888e+01	
144	1.5848931925e+06	2.1320513738e+01	
145	1.7782794100e+06	2.2401992429e+01	
146	1.9952623150e+06	2.3685639340e+01	
147	2.2387211386e+06	2.5257391597e+01	
148	2.5118864315e+06	2.7236321003e+01	
149	2.8183829313e+06	2.9726528862e+01	
150	3.1622776602e+06	3.2357228938e+01	
151	3.5481338923e+06	3.2804774895e+01	
152	3.9810717055e+06	3.0063546837e+01	
153	4.4668359215e+06	2.6871230695e+01	
154	5.0118723363e+06	2.4179819275e+01	
155	5.6234132519e+06	2.1967140781e+01	
156	6.3095734448e+06	2.0114838806e+01	
157	7.0794578438e+06	1.8532619691e+01	
158	7.9432823472e+06	1.7160417029e+01	
159	8.9125093813e+06	1.5959394140e+01	
160	1.0000000000e+07	1.4904479643e+01	
m_psrr_1hz_db = 8.5625650939e+01
m_psrr_1khz_db = 8.2213914787e+01
m_psrr_10hz_db = 8.5625137767e+01
m_psrr_100hz_db = 8.5574124687e+01
m_psrr_10khz_db = 6.4758141940e+01
m_psrr_100khz_db = 3.7815593259e+01
m_psrr_1mhz_db = 1.8230991885e+01
m_vref_op = 1.3278785465e+00
m_f_dc_hz = 1.0000000000e+00
m_f_band_edge_hz = 1.0000000000e+03
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

Warning : IC on non-existent node - xdut.xx1.casc, ignored
   Please check line .ic v(xdut.fb)=1.0 v(xdut.sns1)=0.6 v(xdut.sns2)=0.6 v(vref)=1.2 v(xdut.ibias)=0.6 v(xdut.xx1.casc)=1.8

Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed
Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed
