* ====================================================================
* record-id : 20260731-031337-8fb0ea6
* testbench : tb_mos_vth.spice
* corner    : sf
* temp      : 27 C
* supply    : n/a (no supply rail in this device-level testbench)
* pdk       : gf180mcuD (/Users/rwalters/.volare)
* ngspice   : ngspice-46
* run (UTC) : 2026-07-31T03:13:37Z
* ====================================================================

Note: Compatibility modes selected: hs a


Circuit: * tb_mos_vth.spice -- gf180mcu 3.3 v mos threshold characterization

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

No. of Data Rows : 101
                                                                                                                                                                                                                              * tb_mos_vth.spice -- gf180mcu 3.3 v mos threshold characterization
                                                                                                                                                                                                                              DC transfer characteristic  Thu Jul 30 20:13:53  2026
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Index   v-sweep         v(gn1)          v(gn4)          v(gp1)          v(gp4)          
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0	-8.00000e+00	5.260979e-01	5.512940e-01	-5.16918e-01	-5.67897e-01	
1	-7.95000e+00	5.304370e-01	5.558502e-01	-5.21532e-01	-5.72845e-01	
2	-7.90000e+00	5.347850e-01	5.604267e-01	-5.26166e-01	-5.77822e-01	
3	-7.85000e+00	5.391439e-01	5.650242e-01	-5.30821e-01	-5.82828e-01	
4	-7.80000e+00	5.435138e-01	5.696436e-01	-5.35497e-01	-5.87865e-01	
5	-7.75000e+00	5.478954e-01	5.742858e-01	-5.40195e-01	-5.92933e-01	
6	-7.70000e+00	5.522892e-01	5.789516e-01	-5.44916e-01	-5.98034e-01	
7	-7.65000e+00	5.566959e-01	5.836420e-01	-5.49661e-01	-6.03169e-01	
8	-7.60000e+00	5.611183e-01	5.883578e-01	-5.54429e-01	-6.08340e-01	
9	-7.55000e+00	5.655511e-01	5.931001e-01	-5.59223e-01	-6.13549e-01	
10	-7.50000e+00	5.699996e-01	5.978697e-01	-5.64041e-01	-6.18799e-01	
11	-7.45000e+00	5.744638e-01	6.026678e-01	-5.68886e-01	-6.24092e-01	
12	-7.40000e+00	5.789444e-01	6.074952e-01	-5.73757e-01	-6.29427e-01	
13	-7.35000e+00	5.834421e-01	6.123532e-01	-5.78656e-01	-6.34813e-01	
14	-7.30000e+00	5.879575e-01	6.172430e-01	-5.83582e-01	-6.40253e-01	
15	-7.25000e+00	5.924913e-01	6.221657e-01	-5.88537e-01	-6.45750e-01	
16	-7.20000e+00	5.970444e-01	6.271229e-01	-5.93521e-01	-6.51310e-01	
17	-7.15000e+00	6.016175e-01	6.321159e-01	-5.98536e-01	-6.56933e-01	
18	-7.10000e+00	6.062116e-01	6.371466e-01	-6.03582e-01	-6.62631e-01	
19	-7.05000e+00	6.108273e-01	6.422168e-01	-6.08660e-01	-6.68409e-01	
20	-7.00000e+00	6.154657e-01	6.473286e-01	-6.13772e-01	-6.74274e-01	
21	-6.95000e+00	6.201274e-01	6.524844e-01	-6.18919e-01	-6.80233e-01	
22	-6.90000e+00	6.248135e-01	6.576868e-01	-6.24103e-01	-6.86295e-01	
23	-6.85000e+00	6.295248e-01	6.629389e-01	-6.29327e-01	-6.92468e-01	
24	-6.80000e+00	6.342623e-01	6.682439e-01	-6.34592e-01	-6.98763e-01	
25	-6.75000e+00	6.390269e-01	6.736057e-01	-6.39901e-01	-7.05191e-01	
26	-6.70000e+00	6.438197e-01	6.790284e-01	-6.45258e-01	-7.11762e-01	
27	-6.65000e+00	6.486418e-01	6.845166e-01	-6.50666e-01	-7.18489e-01	
28	-6.60000e+00	6.534944e-01	6.900754e-01	-6.56128e-01	-7.25386e-01	
29	-6.55000e+00	6.583787e-01	6.957105e-01	-6.61651e-01	-7.32468e-01	
