run_id,corner,temp_c,vdd,status,vdiv_ratio,vbias,vbe,isup_ua
20260730T030555Z-292a8da,tt,-40.0,2.97,ok,0.5,0.96567083894,0.80952791545,68.521032459
20260730T030555Z-292a8da,tt,-40.0,3.3,ok,0.5,0.98397718916,0.80952791545,78.517426015
20260730T030555Z-292a8da,tt,-40.0,3.63,ok,0.5,1.0011592802,0.80952791545,88.543924483
20260730T030555Z-292a8da,tt,27.0,2.97,ok,0.5,0.94380990047,0.69043645202,69.611221477
20260730T030555Z-292a8da,tt,27.0,3.3,ok,0.5,0.96579577283,0.69043645202,79.585825307
20260730T030555Z-292a8da,tt,27.0,3.63,ok,0.5,0.98648562762,0.69043645202,89.595456207
20260730T030555Z-292a8da,tt,125.0,2.97,ok,0.5,0.91117206205,0.50733633818,70.620539414
20260730T030555Z-292a8da,tt,125.0,3.3,ok,0.5,0.93798894447,0.50733633818,80.483312175
20260730T030555Z-292a8da,tt,125.0,3.63,ok,0.5,0.9633368784,0.50733633818,90.385876532
20260730T030555Z-292a8da,ff,-40.0,2.97,ok,0.5,0.88150273052,0.79409677304,84.691086553
20260730T030555Z-292a8da,ff,-40.0,3.3,ok,0.5,0.9006705995,0.79409677304,96.735571661
20260730T030555Z-292a8da,ff,-40.0,3.63,ok,0.5,0.91874516483,0.79409677304,108.81661775
20260730T030555Z-292a8da,ff,27.0,2.97,ok,0.5,0.86447668478,0.67006993001,85.921127113
20260730T030555Z-292a8da,ff,27.0,3.3,ok,0.5,0.88754380431,0.67006993001,97.931528067
20260730T030555Z-292a8da,ff,27.0,3.63,ok,0.5,0.9093384172,0.67006993001,109.98488199
20260730T030555Z-292a8da,ff,125.0,2.97,ok,0.5,0.83817660345,0.47988503295,86.981650312
20260730T030555Z-292a8da,ff,125.0,3.3,ok,0.5,0.86642132457,0.47988503295,98.841739145
20260730T030555Z-292a8da,ff,125.0,3.63,ok,0.5,0.89320691273,0.47988503295,110.7511987
20260730T030555Z-292a8da,ss,-40.0,2.97,ok,0.5,1.0557762117,0.82566051711,57.591701265
20260730T030555Z-292a8da,ss,-40.0,3.3,ok,0.5,1.0737049047,0.82566051711,66.209778175
20260730T030555Z-292a8da,ss,-40.0,3.63,ok,0.5,1.0904561042,0.82566051711,74.854146719
20260730T030555Z-292a8da,ss,27.0,2.97,ok,0.5,1.0303263876,0.71230393474,58.560629352
20260730T030555Z-292a8da,ss,27.0,3.3,ok,0.5,1.0517996462,0.71230393474,67.163292908
20260730T030555Z-292a8da,ss,27.0,3.63,ok,0.5,1.0719280205,0.71230393474,75.796263492
20260730T030555Z-292a8da,ss,125.0,2.97,ok,0.5,0.99304526753,0.53729889628,59.499216554
20260730T030555Z-292a8da,ss,125.0,3.3,ok,0.5,1.0191294334,0.53729889628,68.013108615
20260730T030555Z-292a8da,ss,125.0,3.63,ok,0.5,1.0437044028,0.53729889628,76.561085644
20260730T030555Z-292a8da,fs,-40.0,2.97,ok,0.5,0.88607560228,0.80952791545,70.652398211
20260730T030555Z-292a8da,fs,-40.0,3.3,ok,0.5,0.90362107231,0.80952791545,80.669166278
20260730T030555Z-292a8da,fs,-40.0,3.63,ok,0.5,0.92011514402,0.80952791545,90.71408822
20260730T030555Z-292a8da,fs,27.0,2.97,ok,0.5,0.8639675422,0.69043645202,71.769096528
20260730T030555Z-292a8da,fs,27.0,3.3,ok,0.5,0.88506039667,0.69043645202,81.76783568
20260730T030555Z-292a8da,fs,27.0,3.63,ok,0.5,0.90493929231,0.69043645202,91.799384126
20260730T030555Z-292a8da,fs,125.0,2.97,ok,0.5,0.83084204799,0.50733633818,72.796558173
20260730T030555Z-292a8da,fs,125.0,3.3,ok,0.5,0.85659790825,0.50733633818,82.688072422
20260730T030555Z-292a8da,fs,125.0,3.63,ok,0.5,0.88097612056,0.50733633818,92.616905073
20260730T030555Z-292a8da,sf,-40.0,2.97,ok,0.5,1.0452951315,0.80952791545,66.388888661
